# setname	status	fps_no_present	driver_file	drc	fallback	title
lhzb2	OK	57.8	igs/igs017.cpp	-	-	Long Hu Zhengba 2 (China, set 1)
luckboom	OK	57.8	playmark/sderby.cpp	-	-	Lucky Boom
tdoboon	OK	57.5	sigma/sammymdl.cpp	-	-	Taihou de Doboon
tm3k	OK	57.5	williams/tmaster.cpp	-	-	Touchmaster 3000 (v5.02 Standard)
vcarn	OK	57.5	misc/spool99.cpp	-	-	Video Carnival 1999 / Super Royal Card (Version 0.11)
slqz2	OK	57.4	igs/igs017.cpp	-	-	Shuang Long Qiang Zhu 2 VS (China, VS203J, set 1)
spaceg	OK	57.4	omori/spaceg.cpp	-	-	Space Guerrilla
bestri	OK	57.3	f32/crospang.cpp	-	-	Bestri (Korea, set 1)
mogura	OK	57.3	konami/mogura.cpp	-	-	Mogura Desse (Japan)
wbbc97	OK	57.3	vsystem/pspikes.cpp	-	mame4all	Beach Festival World Championship 1997
jumpkids	OK	57.2	dataeast/tumbleb.cpp	-	-	Jump Kids
wilytowr	OK	57.2	irem/m63.cpp	-	-	Wily Tower
wownfant	OK	57.2	kaneko/expro02.cpp	-	-	WOW New Fantasia (Explicit)
liblrabl	OK	57.1	namco/toypop.cpp	-	mame4all	Libble Rabble
bcruzm12	OK	57.0	orca/marineb.cpp	-	mame4all	Battle Cruiser M-12
chaknpop	OK	57.0	taito/chaknpop.cpp	-	-	Chack'n Pop
blackt96	OK	56.9	dgrm/blackt96.cpp	-	-	Black Touch '96
oisipuzl	OK	56.9	seta/seta.cpp	-	mame4all	Oishii Puzzle Ha Irimasenka
sstrangr	OK	56.9	yachiyo/sstrangr.cpp	-	-	Space Stranger
cheesech	OK	56.8	misc/artmagic.cpp	-	-	Cheese Chase
hyhoo	OK	56.8	nichibutsu/hyhoo.cpp	-	-	Hayaoshi Taisen Quiz Hyhoo (Japan)
topdrive	OK	56.8	tch/topdrive.cpp	-	-	Top Driving (version 1.1)
percuss	OK	56.7	orca/zodiack.cpp	-	mame4all	The Percussor
hotsmash	OK	56.6	taito/superqix.cpp	-	-	Vs. Hot Smash
krzybowl	OK	56.6	seta/seta.cpp	-	mame4all	Krazy Bowl
seicross	OK	56.6	nichibutsu/seicross.cpp	-	mame4all	Seicross (set 1)
kontest	OK	56.5	konami/kontest.cpp	-	-	Konami Test Board (GX800, Japan)
pokechmp	OK	56.5	dgrm/pokechmp.cpp	-	-	Poke Champ (set 1)
lhb2	OK	56.3	igs/igs011.cpp	-	-	Lung Fu Bong II (Hong Kong, V185H)
mermaid	OK	56.2	sanritsu/mermaid.cpp	-	mame4all	Mermaid
pesadelo	OK	56.2	msx/forte2.cpp	-	-	Pesadelo (bootleg of Konami Knightmare)
s1945ii	OK	56.2	psikyo/psikyosh.cpp	sh	-	Strikers 1945 II
fantasia	OK	56.1	kaneko/expro02.cpp	-	-	Fantasia (940429 PCB, set 1)
skykid	OK	56.1	namco/skykid.cpp	-	mame4all	Sky Kid (new version)
smiconk	OK	56.1	snk/miconkit.cpp	-	-	Space Micon Kit
winner82	OK	56.1	misc/corona.cpp	-	-	Winners Circle (82)
abcheck	OK	56.0	namco/namcond1.cpp	-	-	Abnormal Check
fncywld	OK	56.0	dataeast/tumbleb.cpp	-	-	Fancy World - Earth of Crisis (set 1)
ncv2	OK	56.0	namco/namcond1.cpp	-	-	Namco Classic Collection Vol.2
wits	OK	56.0	seta/seta.cpp	-	mame4all	Wit's (Japan)
ganjaja	OK	55.9	jaleco/homerun.cpp	-	-	Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump
shangha3	OK	55.9	sunelectronics/shangha3.cpp	-	mame4all	Shanghai III (World)
paprazzi	OK	55.8	yunsung/yunsun16.cpp	-	-	Paparazzi
ssmissin	OK	55.8	nmk/nmk16.cpp	-	mame4all	S.S. Mission
twinbrat	OK	55.7	edevices/stlforce.cpp	-	-	Twin Brats (set 1)
lvcards	OK	55.6	tecmo/lvcards.cpp	-	-	Lovely Cards
mastfury	OK	55.6	unico/drgnmst.cpp	-	-	Master's Fury
ncv1	OK	55.6	namco/namcond1.cpp	-	-	Namco Classic Collection Vol.1
re800v3	OK	55.6	misc/corona.cpp	-	-	Ruleta RE-800 (v3.0)
